ROUTE,flights_count,avg_arrival_delay,median_arrival_delay,cancel_rate,diverted_rate,avg_distance,cluster
ABE-ATL,15,6.666666666666667,-2.0,0.0,0.0,1113.4190269029532,0
ABE-DTW,12,6.666666666666667,-8.0,0.0,0.0,681.4459275294588,0
ABE-ORD,14,32.25,4.0,0.14285714285714285,0.0,1050.3973610937187,0
ABI-DFW,40,10.702702702702704,-4.0,0.075,0.0,253.38619408975234,0
ABQ-ATL,17,2.823529411764706,-4.0,0.0,0.0,2038.37931976302,0
ABQ-BWI,13,14.666666666666666,-5.5,0.0,0.07692307692307693,2682.068253605852,1
ABQ-DAL,21,3.6,0.0,0.047619047619047616,0.0,932.0788737591964,0
ABQ-DEN,36,1.7142857142857142,-5.0,0.027777777777777776,0.0,562.4795299941568,0
ABQ-DFW,33,7.606060606060606,-7.0,0.0,0.0,913.9301557115864,0
ABQ-HOU,21,16.952380952380953,-3.0,0.0,0.0,1220.6269993542305,0
ABQ-IAH,17,-4.705882352941177,-10.0,0.0,0.0,1196.0697082242627,0
ABQ-LAS,16,-0.13333333333333333,-8.0,0.0625,0.0,781.1318283644001,0
ABQ-LAX,28,0.39285714285714285,-2.5,0.0,0.0,1087.5617277238468,0
ABQ-MCI,8,24.25,0.0,0.0,0.0,1154.196606017034,0
ABQ-MDW,9,1.4444444444444444,0.0,0.0,0.0,1800.9448959299498,0
ABQ-OAK,12,11.181818181818182,-10.0,0.08333333333333333,0.0,1427.1997520695252,0
ABQ-ORD,11,6.8,-3.5,0.09090909090909091,0.0,1795.99325888967,0
ABQ-PHX,38,8.157894736842104,3.0,0.0,0.0,527.3608804187211,0
ABQ-SAN,14,7.571428571428571,-7.5,0.0,0.0,1009.2046548080476,0
ABQ-SEA,10,-11.6,-11.0,0.0,0.0,1897.3249062611437,0
ABQ-SFO,10,-18.7,-26.5,0.0,0.0,1439.2738028445995,0
ABQ-SLC,19,-13.842105263157896,-14.0,0.0,0.0,793.5686279171181,0
ABR-MSP,9,-3.6666666666666665,-7.0,0.0,0.0,412.857030045554,0
ABY-ATL,15,-3.7333333333333334,-6.0,0.0,0.0,235.06734006675882,0
ACT-DFW,24,22.09090909090909,0.0,0.08333333333333333,0.0,143.99969231263265,0
ACV-SFO,32,15.5,-7.5,0.0,0.0,402.1849762986149,0
ACY-FLL,11,15.0,-4.0,0.0,0.0,1576.1078065541165,0
ACY-MCO,10,39.6,4.0,0.0,0.0,1373.8145020465154,0
ACY-MYR,6,1.3333333333333333,-6.0,0.0,0.0,750.5950117053025,0
ACY-RSW,12,1.6666666666666667,-1.5,0.0,0.0,1583.6692212228072,0
ADQ-ANC,6,4.833333333333333,2.5,0.0,0.0,406.00536059793836,0
AEX-ATL,20,1.15,-3.0,0.0,0.0,803.7533011769541,0
AEX-DFW,17,8.117647058823529,-9.0,0.0,0.0,457.2685050672919,0
AEX-IAH,15,-2.2,-9.0,0.0,0.0,306.1139129265054,0
AGS-ATL,48,-1.5,-3.5,0.0,0.0,230.27991635540843,0
ALB-ATL,14,-16.428571428571427,-24.5,0.0,0.0,1371.6628613970818,0
ALB-BWI,22,10.545454545454545,-2.5,0.0,0.0,464.3689616040725,0
ALB-CLT,14,-5.857142857142857,-5.0,0.0,0.0,1039.6724394462512,0
ALB-DTW,11,-8.0,-10.0,0.0,0.0,784.6767983913537,0
ALB-MCO,9,-9.555555555555555,-21.0,0.0,0.0,1729.274327023821,0
ALB-MDW,9,28.75,-5.0,0.1111111111111111,0.0,1151.4947007464514,0
ALB-MSP,5,0.8,-15.0,0.0,0.0,1571.771695679204,0
ALB-ORD,18,-6.055555555555555,-14.0,0.0,0.0,1160.3632239892208,0
